,created,text,fav_count,retw_count,source,index
0,2021-11-20 16:23:10,"DATI COVID | Sono 11.555 i positivi ai test Covid individuati nelle ultime 24 ore, secondo i dati del ministero del… https://t.co/KqTPoMVIvl",45,15,agenzia_ansa,0
1,2021-11-20 12:55:44,"Trieste, sostenitore delle teorie No vax contagiato dal Covid, tenta di curarsi da solo ma muore. La vittima era un… https://t.co/iGZqebynPI",216,66,agenzia_ansa,0
2,2021-11-20 12:33:26,"Silvio Berlusconi ha effettuato la terza dose (il cosiddetto booster) del vaccino contro il Covid-19.
Il leader di… https://t.co/5Un25mswHe",280,37,agenzia_ansa,0
3,2021-11-20 11:26:04,La protezione determinata dal vaccino anti-Covid per i vaccinati da più di 6 mesi cala dal 95% all'82%. Lo rileva i… https://t.co/rrXCzmgGkn,36,12,agenzia_ansa,0
4,2021-11-19 22:05:18,Alta tensione nel centro di Rotterdam durante una protesta contro il lockdown per il Covid. Gli agenti hanno sparat… https://t.co/Bn5rxj46kB,122,55,agenzia_ansa,0
5,2021-11-19 19:44:49,"Covid, Ecdc stima: l'Italia tra i Paesi con trend in aumento. Per l'Italia (tra il 21-27 novembre) sono stimati 69.… https://t.co/3xfcg87zkV",47,21,agenzia_ansa,0
6,2021-11-19 16:42:30,"FLASH | Sono 10.544 i positivi ai test Covid individuati nelle ultime 24 ore, secondo i dati del ministero della Sa… https://t.co/Nv0PueH8qQ",76,28,agenzia_ansa,0
7,2021-11-19 15:41:01,"DIRETTA | Covid, conferenza stampa sull'analisi dei dati del Monitoraggio settimanale. #ANSA 
https://t.co/ZJJDqGW4XC",14,6,agenzia_ansa,0
8,2021-11-19 12:47:55,"La Baviera, fra i Laender attualmente più colpiti dal Covid in Germania, inasprisce le misure: ""i mercatini di Nata… https://t.co/02wSQ4cNcp",46,23,agenzia_ansa,0
9,2021-11-19 10:03:45,"Costa: ""Bisogna valutare l'obbligo di vaccinazione anti-covid  per chi è esposto al pubblico. Come le Forze dell'or… https://t.co/rpiL1ZDHXC",138,26,agenzia_ansa,0
10,2021-11-19 08:27:14,"Un vademecum per prepararsi al secondo Natale dell'era Covid: dalle mascherine al green pass, dallo shopping nei ce… https://t.co/P3ZkTkMPy3",9,2,agenzia_ansa,0
11,2021-11-19 08:18:53,"Covid,  incidenza in crescita, è a 98 ogni 100mila abitanti. Rt stabile a 1,21. In aumento i ricoveri e le terapie… https://t.co/TzzymJYP4D",14,6,agenzia_ansa,0
