,created,text,fav_count,retw_count,source,index
0,2021-11-09 07:28:30,"La Germania esorta l'Unione europea ad ""agire"" e ad aiutare a fermare il flusso di migranti che attraversano illega… https://t.co/8yi3LFuGGN",75,28,agenzia_ansa,0
1,2021-11-08 13:16:39,VIDEO | L'esodo dei migranti che ha tentato di entrare illegalmente nel territorio polacco dalla Bielorussia è stat… https://t.co/WmTJzub6zi,25,16,agenzia_ansa,0
2,2021-11-09 09:19:21,"Così la #Bielorussia porta i #migranti in Europa
_
Un'inchiesta pubblicata da Deutsche Welle spiega che a Erbil, ne… https://t.co/bZGDcOklHA",9,7,agenzia_italia,0
3,2021-11-08 17:13:53,La crisi al confine polacco con migliaia di #migranti che premono dalla #Bielorussia. Dispiegati 12 mila soldati… https://t.co/9VcQs3Qq8C,15,9,agenzia_italia,0
4,2021-11-09 15:41:22,"Ue: aggressione da regime illegittimo e disperato #Bielorussia #migranti 

https://t.co/W3LOPo2J97",18,8,rainews,0
5,2021-11-09 09:07:31,"Centinaia di #migranti in fuga da Minsk sono ammassati al confine con la #Polonia. Varsavia: ""Sigilliamo i confini.… https://t.co/BfdGcNLHej",19,11,rainews,0
6,2021-11-08 13:21:26,Centinaia di migranti da Bielorussia a confine con Polonia. Varsavia: pronti a difendere frontiera https://t.co/vIixXf2O0T,15,8,rainews,0
7,2021-11-09 15:27:01,"Crisi migranti, Lukashenko: ""Bielorussia non si piegherà davanti a Ue""  https://t.co/Yl9QA4yKdE https://t.co/P3yUeGiLLj",23,5,mediasettgcom24,0
8,2021-11-09 09:02:15,"Polonia, migliaia di migranti al confine con la Bielorussia  #migranti https://t.co/qam79Xzstr https://t.co/giiUqbYDYx",15,9,mediasettgcom24,0
9,2021-11-09 08:20:02,"Migranti, Polonia: crisi al confine minaccia la stabilità Ue   #migrantiaccordoue https://t.co/47CNjKZ62z https://t.co/XFJlCslqMK",9,5,mediasettgcom24,0
10,2021-11-08 11:55:02,"Polonia, centinaia di migranti arrivati al confine dalla Bielorussia  #polonia https://t.co/Dd6352b8SA https://t.co/lzwzXzRF2R",13,6,mediasettgcom24,0
11,2021-11-09 12:23:48,"Polonia, crisi dei migranti: così Lukashenko (e Putin) sfidano l’Europa al confine biel... https://t.co/FGoyiExvSc https://t.co/LAMiuZartj",3,5,corriere,0
12,2021-11-09 12:00:36,Meloni e la frase su migranti e vaccinazione della figlia: bufera sui social https://t.co/7bUQoes954,18,3,corriere,0
13,2021-11-09 11:39:45,Meloni e la frase su migranti e vaccinazione della figlia: bufera sui social https://t.co/6YyBuH1bT8 https://t.co/oVfgqlkJha,12,2,corriere,0
14,2021-11-09 07:49:45,La Polonia respinge centinaia di migranti dalla Bielorussia: «Pronti a difendere la fr... https://t.co/vNG92B38G5 https://t.co/5g9xyxsQvx,5,0,corriere,0
15,2021-11-08 15:46:51,La Polonia respinge centinaia di migranti dalla Bielorussia «Pronti a difendere frontiera» https://t.co/y6Aw0UxHPk,18,7,corriere,0
16,2021-11-08 15:32:45,La Polonia respinge  centinaia di migranti dalla Bielorussia «Pronti a difendere fronti... https://t.co/vNG92B38G5 https://t.co/gc4bhPfDgV,26,5,corriere,0
17,2021-11-09 16:08:12,"Oggi altre centinaia di migranti hanno raggiunto il confine fra Bielorussia e Polonia
https://t.co/GbQXbcXJIw",13,4,ilpost,0
18,2021-11-08 17:06:49,"Ci sono centinaia di migranti al confine tra Bielorussia e Polonia
https://t.co/EzktfU9JdX",28,15,ilpost,0
19,2021-11-09 13:14:12,"Crisi migranti in Bielorussia, cosa sta succedendo. L’Ue: “Vogliamo evitare una crisi umanitaria”

https://t.co/lBMRrcNiVM",4,1,lastampa,-1
20,2021-11-08 12:06:12,"Bielorussia, centinaia di migranti al confine con la Polonia: tensione in Europa https://t.co/Nl4se9krQx",9,9,ilmessaggeroit,-1
21,2021-11-09 07:35:22,"CONFINE UMANO

#ilmanifesto #laprima 

4.000 migranti tra due fuochi. Spinti dal regime bielorusso, cercano di attr… https://t.co/qqrjtkh6H9",82,28,ilmanifesto,-1
22,2021-11-09 13:07:11,"Bielorussia, 4mila migranti al confine polacco. Varsavia: ‘Minsk aiuta a distruggere barriere’. Ue sospende i visti… https://t.co/a0KMp8Hrtj",7,5,fattoquotidiano,-1
23,2021-11-08 10:27:43,"Il dramma dei migranti che si affidano al ""Topo"", treno regionale che attraversa il confine, e per evitare controll… https://t.co/faIaR6P8Zg",7,5,fattoquotidiano,-1
24,2021-11-09 15:00:33,"RT @eziomauro: Video Polonia, continua la crisi dei migranti: in migliaia affollano il confine con la Bielorussia https://t.co/BK5hVenYbW v…",0,7,repubblica,-1
25,2021-11-09 10:16:03,RT @Maumol: Senza un accordo forte sul tema dei migranti l'Ue è destinata ad un domino di crisi incredibili https://t.co/DsuC1gh6t8,0,4,repubblica,-1
26,2021-11-09 10:03:24,"Crisi dei migranti alla frontiera tra Polonia e Bielorussia, i vescovi francesi risarciranno le vittime dei preti p… https://t.co/CsvYJ3WnI1",7,4,internazionale,-1
27,2021-11-09 16:32:21,"Senza test anticovid i migranti non possono salire in aereo. Nessuno può obbligarli, così la procedura di rimpatrio… https://t.co/9nztitjsxU",7,3,ilgiornale,1
28,2021-11-09 14:30:10,"I voli dal medio oriente verso la Bielorussia sono aumentati, arrivano circa mille persone al giorno. I migranti ve… https://t.co/d7SdHFrWIC",9,2,ilfoglio_it,1
29,2021-11-09 08:30:02,"Il traffico di migranti organizzato da Lukashenka dal medio oriente è in aumento, ai confini europei la situazione… https://t.co/BXOASnOWXQ",2,3,ilfoglio_it,1
30,2021-11-08 19:30:04,"Al confine tra #Polonia e #Bielorussia, la situazione è sempre più tesa e il traffico di #migranti organizzato da… https://t.co/FSRbN9SyCG",4,4,ilfoglio_it,1
31,2021-11-08 11:35:02,"Sedici anni al comando. I migranti, la pandemia, l'#Afghanistan e il passaggio di consegne a Olaf Scholz. “Vi abitu… https://t.co/QvXYgz63Tj",8,4,ilfoglio_it,1
32,2021-11-09 10:30:46,"La Bielorussia invia altri migranti in Polonia, tensione al confine. Dall'Ue altre sanzioni https://t.co/ssppn5BsHT",0,1,gazzettino,1
0,2021-11-10 14:18:37,"Il premier polacco Mateusz Morawiecki ha accusato la Bielorussia di ""terrorismo di stato"" per la crisi dei migranti… https://t.co/UorNlzxUB5",15,4,agenzia_ansa,0
1,2021-11-10 11:38:51,"Bielorussia, Merkel chiede a Putin di intervenire su Minsk. ""E' disumano e inaccettabile la strumentalizzare dei migranti"".#ANSA",25,6,agenzia_ansa,0
