,created,text,fav_count,retw_count,source,index
0,2021-11-10 14:18:37,"Il premier polacco Mateusz Morawiecki ha accusato la Bielorussia di ""terrorismo di stato"" per la crisi dei migranti… https://t.co/UorNlzxUB5",15,4,agenzia_ansa,0
1,2021-11-10 11:38:51,"Bielorussia, Merkel chiede a Putin di intervenire su Minsk. ""E' disumano e inaccettabile la strumentalizzare dei migranti"".#ANSA",25,6,agenzia_ansa,0
2,2021-11-10 09:43:14,"La Polonia ha arrestato oltre 50 migranti al confine con la Bielorussia, vicino a Bialowieza dopo che avevano attra… https://t.co/l0teMWMYdE",30,6,agenzia_ansa,0
3,2021-11-10 08:35:28,Due gruppi di migranti sono riusciti a sfondare il recinto della frontiera fra Bielorussia e Polonia attraversando… https://t.co/RHnA8Ytoqr,89,31,agenzia_ansa,0
4,2021-11-11 05:48:01,"Migranti, la Polonia accusa la Bielorussia di ""terrorismo di Stato""  #polonia https://t.co/rNIPgp5ESy https://t.co/UOaZlVru6J",7,5,mediasettgcom24,0
5,2021-11-10 09:40:01,"Migranti, Minsk a Mosca: auspichiamo reazione congiunta per contrastare crisi  #minsk https://t.co/a53d5it0D2 https://t.co/d0i5zJITFP",7,1,mediasettgcom24,0
6,2021-11-10 08:18:01,Migranti penetrano in Polonia: sfondata la recinzione della frontiera con la Bielorussia  #bielorussia… https://t.co/oVSzhqUTij,18,7,mediasettgcom24,0
7,2021-11-10 01:00:00,"Polonia: ""C'è Putin dietro la crisi dei migranti dalla Bielorussia""  #bielorussia https://t.co/lUEx8CdWlz https://t.co/mUsr5mCl3n",11,7,mediasettgcom24,0
8,2021-11-10 13:00:14,"Minsk accusa: ""Forze polacche hanno picchiato alcuni #migranti"". #Bielorussia https://t.co/QfA55viNOv",5,2,adnkronos,0
9,2021-11-11 16:05:02,Mohammed condannato a 142 anni per aver salvato 33 vite di migranti «Ma io rifarei tutto da capo» https://t.co/AUYvTfW2gT,5,1,corriere,0
10,2021-11-11 15:55:46,Mohammed condannato a 142 anni per aver salvato 33 vite di migranti  «Ma io rifarei tu... https://t.co/hFciapc9U2 https://t.co/liuuaPy6Nd,12,6,corriere,0
11,2021-11-10 23:01:32,"«Nie, non si passa», così la Polonia chiude le porte ai migranti spinti dalla Bielorussia https://t.co/v4ku5xubne",6,2,corriere,0
12,2021-11-10 22:39:46,"«Nie, non si passa», così la Polonia chiude le porte ai migranti spinti dalla Bielorussia https://t.co/VajsJTdO5X https://t.co/BqkT2c8JxD",3,0,corriere,0
13,2021-11-10 11:29:24,"L'uso politico dei migranti in Bielorussia
@fulvioscaglione satrapo e zar giocano duro https://t.co/VXvgLWCLSC",11,4,avvenire_nei,0
14,2021-11-10 10:09:20,"RT @lmisculin: Come ci arrivano i migranti in Bielorussia – un articolo che non contiene espressioni come ""ondata"", ""rubinetto umano"", ""dis…",0,12,ilpost,0
15,2021-11-10 09:55:08,"Come ci arrivano i migranti in Bielorussia
https://t.co/jRYrKNf3qA",18,7,ilpost,0
16,2021-11-10 07:17:53,"Un peschereccio con a bordo circa 400 migranti si è incagliato di fronte a Pozzallo, in Sicilia: i soccorsi vanno a… https://t.co/jtck2atGCT",40,5,ilpost,0
17,2021-11-10 19:13:32,"Ocean Viking, i 306 migranti vanno ad Augusta https://t.co/rklMykiCsO",7,1,lastampa,-1
18,2021-11-10 09:35:27,"[In aggiornamento] Sfondata la recinzione alla frontiera fra Bielorussia e Polonia, migranti superano il confine

https://t.co/Drc0Kx2fP5",1,1,lastampa,-1
19,2021-11-10 08:26:25,"Bielorussia-Polonia, sfondata recinzione frontiera. Minsk: «Polizia ha picchiato migranti» https://t.co/gM8q2j2FLj",6,2,ilmessaggeroit,-1
20,2021-11-10 11:48:38,"Migranti, Varsavia accusa: «Regia di Putin» | il manifesto https://t.co/C64w9gjodg",8,4,ilmanifesto,-1
21,2021-11-11 15:34:12,"#Bielorussia, migliaia di migranti bloccati nei boschi, al gelo e senza viveri nel tentativo di entrare nell'Unione… https://t.co/x42bcIbdXu",15,11,fattoquotidiano,-1
22,2021-11-10 12:31:40,RT @ilfattovideo: Altra notte di tempesta per i 306 migranti a bordo della Ocean Viking: la furia delle onde alte due metri – Video https:/…,0,5,fattoquotidiano,-1
23,2021-11-10 10:39:04,"Polonia, 50 migranti arrestati alla frontiera con la Bielorussia: ""Dietro c'è la mano di Putin"" https://t.co/KyRuGON8re",25,7,repubblica,-1
24,2021-11-10 10:38:31,"Crisi migranti, nuovi scontri alla frontiera Polonia-Bielorussia: 50 profughi arrestati, a migliaia nei boschi. Var… https://t.co/tabsbysuAm",6,5,repubblica,-1
25,2021-11-10 12:45:05,"La vita sospesa dei migranti, respinti ai margini della Fortezza Europa. Le foto https://t.co/C0ZWHV7zyv",23,12,huffpostitalia,-1
26,2021-11-10 10:53:03,L'Europa non può andare in ordine sparso sui migranti. Adotti una linea comune https://t.co/QhLZb1CjE1,16,4,huffpostitalia,-1
27,2021-11-10 13:12:02,"I #migranti sfondano il recinto sul confine tra #Bielorussia e #Polonia, 50 arresti. #Lukashenko: ""Non ci inginocch… https://t.co/6cHnrbpU5S",27,8,libero_official,1
28,2021-11-10 12:42:01,Un gruppo di migranti ha attraversato la frontiera che divide Polonia e Bielorussia dopo aver rotto le recinzioni n… https://t.co/V10XUYK3VF,3,1,ilgiornale,1
29,2021-11-11 16:30:08,[VIDEO] L'inferno gelido dei migranti. @Micol_Fla ci racconta cosa sta succedendo al confine tra Bielorussia e Polo… https://t.co/zqjTxN9azk,1,0,ilfoglio_it,1
30,2021-11-11 14:00:33,La Bielorussia usa la vita dei migranti per ricattare l’Unione europea rea di aver condannato Lukashenka per le ele… https://t.co/wSCooPqQI9,4,1,ilfoglio_it,1
31,2021-11-10 08:58:42,"#bielorussia-#polonia, sfondata recinzione della frontiera. Minsk: «La polizia ha picchiato i #migranti» https://t.co/Y1rT0hwnea",4,3,gazzettino,1
32,2021-11-10 19:00:50,Minsk mette l'Ue sotto pressione come ritorsione dopo le sanzioni di Bruxelles. Duemila migranti a ridosso del conf… https://t.co/ZGLBnEThx7,92,41,laveritaweb,1
33,2021-11-10 09:24:06,"Alta tensione tra Polonia e Bielorussia, i migranti sfondano la recinzione della frontiera https://t.co/jfjWim6DVL",0,2,qn_giorno,1
